acteurs,annee,description,duree,genre,pays,public,score,titre
,2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",1h 10m,Drama,United States,TV-MA,8.5,Generation Kill
"Gaia Girace,Margherita Mazzucco,Alba Rohrwacher",2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,1h,Drama,Italy,TV-MA,8.6,My Brilliant Friend
"Kyle Rogers,Mike Matei,James Rolfe",2004– ,A foul-mouthed nerd reviews bad video games.,35m,Comedy,United States,TV-MA,8.5,The Angry Video Game Nerd
,2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50m,Documentary,United States,TV-MA,8.5,Chef's Table
"Wes Chatham,Dominique Tipper,Steven Strait",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",1h,Drama,United States,TV-14,8.5,The Expanse
"Danny Pudi,Joel McHale,Donald Glover",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22m,Comedy,United States,TV-14,8.5,Community
"Courtney Henggeler,William Zabka,Ralph Macchio",2018–2023,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30m,Action,United States,TV-14,8.5,Cobra Kai
"Caroline Dhavernas,Hugh Dancy,Mads Mikkelsen",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44m,Crime,United States,TV-MA,8.5,Hannibal
,2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45m,Crime,Romania,TV-MA,8.7,Umbre
"J.G. Quintel,William Salyers,Sam Marin",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23m,Animation,United States,TV-PG,8.5,Regular Show
"Saba Azad,Regina Cassandra,Jim Sarbh",2022– ,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",,Drama,India,,8.9,Rocket Boys
"Catherine O'Hara,Eugene Levy,Dan Levy",2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22m,Comedy,Canada,TV-14,8.5,Schitt's Creek
,1998,Dramatized portrayal of the Apollo manned space program.,1h,Action,United States,TV-14,8.6,From the Earth to the Moon
"John DiMaggio,Katey Sagal,Billy West",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22m,Animation,United States,TV-14,8.5,Futurama
,1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",1h 58m,Animation,Japan,TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal
"T.J. Miller,Thomas Middleditch,Josh Brener",2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28m,Comedy,United States,TV-MA,8.5,Silicon Valley
"Sarah Lancashire,James Norton,Siobhan Finneran",2014–2023,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,58m,Crime,United Kingdom,TV-MA,8.5,Happy Valley
"Scott Ryan,Chika Yasumura,Justin Rosniak",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30m,Crime,Australia,TV-MA,8.6,Mr Inbetween
"Manu Bennett,John Hannah,Peter Mensah",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",5h 31m,Action,United States,TV-MA,8.5,Spartacus: Gods of the Arena
,2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24m,Animation,Japan,TV-PG,8.5,Fullmetal Alchemist
"Sheryl Lee,Kyle MacLachlan,Michael Horse",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,1h,Crime,United States,TV-MA,8.5,Twin Peaks
,2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24m,Animation,Japan,TV-MA,8.5,Jujutsu Kaisen
"Josefine Frida Pettersen,Ulrikke Falch,Iman Meskini",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30m,Drama,Norway,Not Rated,8.6,Skam
"Jodie Whittaker,Peter Capaldi,Pearl Mackie",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45m,Adventure,United Kingdom,TV-PG,8.6,Doctor Who
"Evan Rachel Wood,Ed Harris,Jeffrey Wright",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",1h 2m,Drama,United States,TV-MA,8.5,Westworld
,2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",3h 55m,Drama,United Kingdom,TV-PG,8.6,North & South
"Robb Wells,Mike Smith,John Paul Tremblay",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30m,Comedy,Canada,TV-MA,8.6,Trailer Park Boys
,2022,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",1h 15m,Drama,South Korea,TV-14,8.7,Extraordinary Attorney Woo
,1997–2001,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",25m,Comedy,United Kingdom,TV-MA,8.6,Brass Eye
"Toby Jones,Rachael Stirling,Mackenzie Crook",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30m,Comedy,United Kingdom,TV-14,8.6,Detectorists
"Mark Boone Junior,Katey Sagal,Charlie Hunnam",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45m,Crime,United States,TV-MA,8.6,Sons of Anarchy
"Kotono Mitsuishi,Megumi Hayashibara,Megumi Ogata",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24m,Animation,Japan,TV-MA,8.5,Neon Genesis Evangelion
,2012–2023,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",1h 29m,Crime,United Kingdom,TV-14,8.6,Endeavour
"Emmy Rossum,Ethan Cutkosky,William H. Macy",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46m,Comedy,United States,TV-MA,8.6,Shameless
"Andy Whitfield,Lucy Lawless,Manu Bennett",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55m,Action,United States,TV-MA,8.5,Spartacus
,2016–2022,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24m,Animation,Japan,TV-14,8.6,Mob Psycho 100
,2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",1h 30m,Crime,Turkey,TV-14,8.7,Ezel
